,R_x,f_1,f_2,Generation,Rank
0,5-15-2-7-20-23-3-4-24-14-11-17-12-8-26*5-6-13-0-18-22-17-11-3-1-9-14-7-27-29*9-3-11-25-0-26-8-12-18-13-6-10-15-27-7*23-14-11-17-22-0-13-6-21-10-7-24-3-1-9*5-21-15-16-28-25-22-12-17-11-14-20-7-10-2*20-4-3-9-23-14-7-16-6-5-21-10-27-2*26-0-28-16-10-15-6-2-29-27-7-25-22-19-8*8-12-19-17-11-3-1-23-24-20-7-25-22-18-13*10-21-2-16-28-17-19-12-18-0-25-7-20-14-23*14-3-1-24-7-16-6-5-21-10*5-15-29-2-6-13-18-0-28-7-4-1-14-20*8-12-17-28-16-27-29-10-21-6-13-18-19-0-26*,14.2741115267711,0.5942028985507246,1129,0.0
1,5-15-2-7-20-23-3-4-24-14-11-17-12-8-26*5-6-13-0-18-22-17-11-3-1-9-14-7-27-29*9-3-11-25-0-26-8-12-18-13-6-10-15-27-7*23-14-11-17-22-0-13-6-21-10-7-24-3-1-9*5-21-15-16-28-25-22-12-17-11-14-20-7-10-2*20-4-3-9-23-14-7-16-6-5-21-10-27-2*26-0-28-16-10-15-6-2-29-27-7-25-22-19-8*8-12-19-17-11-3-1-23-24-20-7-25-22-18-13*10-21-2-16-28-17-19-12-18-0-25-7-20-14-23*3-1-24-7-16-6-5-21-10*5-15-29-2-6-13-18-0-28-7-4-1-14-20*8-12-17-28-16-27-29-10-21-6-13-18-19-0-26*,14.276917231704466,0.5922330097087378,1130,0.0
2,5-15-2-7-20-23-3-4-24-14-11-17-12-8-26*5-6-13-0-18-22-17-11-3-1-9-14-7-27-29*9-3-11-25-0-26-8-12-18-13-6-10-15-27-7*23-14-11-17-22-0-13-6-21-10-7-24-3-1-9*5-21-15-16-28-25-22-12-0-17-11-14-20-7-10*20-4-3-9-23-14-7-16-6-5-21-10-27-2*26-0-28-16-10-15-6-2-29-27-7-25-22-19-8*8-12-19-17-11-3-1-23-24-20-7-25-22-18-13*10-21-2-16-28-17-19-12-18-0-25-7-20-14-23*14-3-1-24-7-16-6-5-21-10-2*5-15-29-2-6-13-18-0-28-7-4-1-14-20*8-12-17-28-16-27-29-10-21-6-13-18-19-0-26*,14.277443301379472,0.5865384615384616,1100,0.0
3,5-15-2-7-20-23-3-4-24-14-11-17-12-8-26*5-6-13-0-18-22-17-11-3-1-9-14-7-27-29*9-3-11-25-0-26-8-12-18-13-6-10-15-27-7*23-14-11-17-22-0-13-6-21-10-7-24-3-1-9*5-21-15-16-28-25-22-12-0-17-11-14-20-7-10*20-4-3-9-23-14-7-16-6-5-21-10-27-2*26-0-28-16-10-15-6-2-29-27-7-25-22-19-8*8-12-19-17-11-3-1-23-24-20-7-25-22-18-13*10-21-2-16-28-17-19-12-18-0-25-7-20-14-23*3-1-24-7-16-6-5-21-10-2*5-15-29-2-6-13-18-0-28-7-4-1-14-20*8-12-17-28-16-27-29-10-21-6-13-18-19-0-26*,14.280249006312836,0.5845410628019323,1106,0.0
4,5-15-2-7-20-23-3-4-24-14-11-17-12-8-26*5-6-13-0-18-22-17-11-3-1-9-14-7-27-29*9-3-11-25-0-26-8-12-18-13-6-10-15-27-7*23-14-11-17-22-0-13-6-21-10-7-24-3-1-9*5-21-15-16-28-25-22-12-0-17-11-14-20-7-10*20-4-3-9-23-14-7-16-6-5-21-10-27*26-0-28-16-10-15-6-2-29-27-7-25-22-19-8*8-12-19-17-11-3-1-23-24-20-7-25-22-18-13*10-21-2-16-28-17-19-12-18-0-25-7-20-14-23*3-1-24-7-16-6-5-21-10-2*5-15-29-2-6-13-18-0-28-7-4-1-14-20*8-12-17-28-16-27-29-10-21-6-13-18-19-0-26*,14.287847790507366,0.5825242718446602,1114,0.0
5,15-2-7-20-23-3-4-24-14-11-17-12-8-26*5-6-13-0-18-22-17-11-3-1-9-14-7-27-29*9-3-11-25-0-26-8-12-18-13-6-10-15-27-7*23-14-11-17-22-0-13-6-21-10-7-24-3-1-9*5-21-15-16-28-25-22-12-0-17-11-14-20-7-10*20-4-3-9-23-14-7-16-6-5-21-10-27*26-0-28-16-10-15-6-2-29-27-7-25-22-19-8*8-12-19-17-11-3-1-23-24-20-7-25-22-18-13*10-21-2-16-28-17-19-12-18-0-25-7-20-14-23*3-1-24-7-16-6-5-21-10-2*5-15-29-2-6-13-18-0-28-7-4-1-14-20*8-12-17-28-16-27-29-10-21-6-13-18-19-0-26*,14.290945756371288,0.5804878048780489,1123,0.0
6,5-15-2-7-20-23-3-4-24-14-11-17-12-8-26*5-21-15-16-28-25-22-12-0-17-11-14-20-7-10*9-3-11-25-0-26-8-12-18-13-6-10-15-27-7*23-14-11-17-22-0-13-6-21-10-7-24-3-1-9*5-6-13-0-18-22-17-11-3-1-9-14-7-27-29*20-4-3-9-23-14-7-16-6-5-21-10-27-2*26-0-28-16-10-15-2-29-27-7-25-22-19-8*8-12-17-28-16-27-29-10-21-6-13-18-19-0-26*10-21-2-16-28-17-19-12-0-25-7-20-14-1-9*14-3-1-24-7-16-6-5*5-15-29-2-6-13-18-0-28-7-4-1-14-20*13-18-22-25-7-20-24-23-1-3-11-17-19-12-8*,14.294452887537991,0.5784313725490196,1116,0.0
7,5-15-2-7-20-23-3-4-24-14-11-17-12-8-26*5-21-15-16-28-25-22-12-0-17-11-14-20-7-10*9-3-11-25-0-26-8-12-18-13-6-10-15-27-7*23-14-11-17-22-0-13-6-21-10-7-24-3-1-9*5-6-13-0-18-22-17-11-3-1-9-14-7-27-29*20-4-3-9-23-14-7-16-6-5-21-10-27-2*26-0-28-16-10-15-2-29-27-7-25-22-19-8*8-12-17-28-16-27-29-10-21-6-13-18-19-0-26*10-21-2-16-28-17-19-12-0-25-7-20-14-1*14-3-1-24-7-16-6-5*5-15-29-2-6-13-18-0-28-7-4-1-14*13-18-22-25-7-20-24-23-1-3-11-17-19-12-8*,14.296148000935236,0.5742574257425743,1131,0.0
8,5-15-2-7-20-23-3-4-24-14-11-17-12-8-26*5-21-15-16-28-25-22-12-0-17-11-14-20-7-10*9-3-11-25-0-26-8-12-18-13-6-10-15-27-7*23-14-11-17-22-0-13-6-21-10-7-24-3-1-9*5-6-13-0-18-22-17-11-3-1-9-14-7-27-29*20-4-3-9-23-14-7-16-6-5-21-10-27-2*26-0-28-16-10-15-2-29-27-7-25-22-19-8*8-12-17-28-16-27-29-10-21-6-13-18-19-0-26*10-21-2-16-28-17-19-12-18-0-25-7-20-14-23*3-1-24-7-16-6-5*29-2-6-13-18-0-28-7-4-1-14-20*13-18-22-25-7-20-24-23-1-3-11-17-19-12-8*,14.297638531681084,0.572139303482587,1097,0.0
9,5-6-13-0-18-22-17-11-3-1-9-14-7-27-29*5-21-15-16-28-25-22-12-0-17-11-14-20-7-10*9-3-11-25-0-26-8-12-18-13-6-10-15-27-7*23-14-11-17-22-0-13-6-21-10-7-24-3-1-9*5-15-2-7-20-23-3-4-24-14-11-17-12-8-26*20-4-3-9-23-14-7-16-6-5-21-10-27*26-0-28-16-10-15-2-29-27-7-25-22-19-8*8-12-17-28-16-27-29-10-21-6-13-18-19-0-26*10-21-2-16-28-17-19-12-18-0-25-7-20-14-23*3-1-24-7-16-6-5*29-2-6-13-18-0-28-7-4-1-14-20*13-18-22-25-7-20-24-23-1-3-11-17-19-12-8*,14.305237315875614,0.5700000000000001,1135,0.0
