,f_1,f_2,R_x
6,15.146978021978022,0.4969325153374233,23-9-1-3-11-17-22-18-13-6-15-2*27-2-7-28-17-19-8-26-0-18-13-6-21*21-10-16-28-17-12*5-21-15-29-2-10-6-13-18-22-12-8*21-5-6-13-18-19-22-25-28-7-4-24-1-14-20*4-7-14-3*24-20-4-1-9-14-7-27-10-15-21-2-29*4-24-14-11-17-22-0-13-6-5*9-3-11-25-7-10-21-5-15-16-28-17-19-12-0*26-8-12-0-28-16-27-29-2-7-4-24*8-12-18-0-25-7-20-23-14-11-17-22*4-23-3-1-24-7-16-6-5-21*
7,15.149783726911387,0.4906832298136646,23-9-1-3-11-17-22-18-13-6-15-2*27-2-7-28-17-19-8-26-0-18-13-6-21*21-10-16-28-17-12*21-15-29-2-10-6-13-18-22-12-8*21-5-6-13-18-19-22-25-28-7-4-24-1-14-20*7-14-3*24-20-4-1-9-14-7-27-10-15-21-2-29*4-24-14-11-17-22-0-13-6-5*9-3-11-25-7-10-21-5-15-16-28-17-19-12-0*26-8-12-0-28-16-27-29-2-7-4-24*8-12-18-0-25-7-20-23-14-11-17-22*4-23-3-1-24-7-16-6-5-21*
8,15.173719897124151,0.4875,23-9-1-3-11-17-22-18-13-6-15-2-16*27-2-7-28-17-19-8-26-0-18-13-6-21*21-10-16-28-17-12*5-21-15-29-2-10-6-13-18-22-12-8*21-5-6-13-18-19-22-25-28-7-4-24-1-14-20*14-3*24-20-4-1-9-14-7-27-10-15-21-2*20-24-14-11-17-22-0-13-6-5*9-3-11-25-7-10-21-5-15-16-28-17-19-12-0*26-8-12-0-28-16-27-29-2-7-4-24-23*8-12-18-0-25-7-20-23-14-11-17-22*23-3-1-24-7-16-6-5*
9,15.176730184708909,0.4810126582278481,24-20-23-9-1-3-11-17-22-18-13-6-15-2-16*27-2-7-28-17-19-8-26-0-18-13-6-21*21-10-16-28-17-12*5-21-15-29-2-10-6-13-18-22-12-8*2-21-5-6-13-18-19-22-25-28-7-4-1-14*3-4-14-20*24-4-1-9-14-7-27-10-15-21-2*24-14-11-17-22-0-13-6-5*9-3-11-25-7-10-21-5-15-16-28-17-19-12*26-8-12-0-28-16-27-29-2-7-4-23*8-12-18-0-25-7-20-23-14-11-17*23-3-1-24-7-16-6-5*
10,15.184328968903436,0.4777070063694267,24-20-23-9-1-3-11-17-22-18-13-6-15-2-16*2-7-28-17-19-8-26-0-18-13-6-21*21-10-16-28-17-12*5-21-15-29-2-10-6-13-18-22-12-8*2-21-5-6-13-18-19-22-25-28-7-4-1-14*3-4-14-20*24-4-1-9-14-7-27-10-15-21-2*24-14-11-17-22-0-13-6-5*9-3-11-25-7-10-21-5-15-16-28-17-19-12*26-8-12-0-28-16-27-29-2-7-4-23*8-12-18-0-25-7-20-23-14-11-17*23-3-1-24-7-16-6-5*
11,15.19523030161328,0.4743589743589743,24-20-23-9-1-3-11-17-22-18-13-6-15-2-16*2-7-28-17-19-8-26-0-18-13-6-21*21-10-16-28-17-12*5-21-15-29-2-10-6-13-18-22-12-8*2-21-5-6-13-18-19-22-25-28-7-4-1-14*3-4-14-20*24-4-1-9-14-7-27-10-15-21-2*24-14-11-17-22-0-13-6-5*9-3-11-25-7-10-21-5-15-16-28-17-19-12*8-12-0-28-16-27-29-2-7-4-23-14-11-17*8-12-18-0-25-7-20-23*23-3-1-24-7-16-6-5*
12,15.21714987140519,0.4709677419354838,20-23-9-1-3-11-17-22-18-13-6-15-2-16*2-7-28-17-19-8-26-0-18-13-6-21*21-10-16-28-17-12*5-21-15-29-2-10-6-13-18-22-12-8*2-21-5-6-13-18-19-22-25-28-7-4-1-14*3-4-14-20*24-4-1-9-14-7-27-10-15-21-2*24-14-11-17-22-0-13-6-5*9-3-11-25-7-10-21-5-15-16-28-17-19-12*8-12-0-28-16-27-29-2-7-4-23-14-11-17*8-12-18-0-25-7-20-23*23-3-1-24-7-16-6-5*
18,15.224368716389993,0.4693877551020408,14-3-1-24-7-27-29-2-10-6-13-18-12-8-19*9-1-3-11-17-22-18-0-13-6-5-15-27*17-22-0-13-6-15-16*1-14-20*9-3-24-14-11-25-7-10-15*4-23*9-14-7-16-6-13*8-12-19-17-28-16-27-10-21-6-13-18-0-25-22*23-24-7-2-27-16-28-25-22-18-19*3-4-24-20-7-25-22-19-12-0-26*29-2-15-21-5-6-16-7-20-23-3-1*23-14-11-17-12-8-26-0-28-7-4-1-9-3*
19,15.22629763853168,0.4657534246575342,14-3-1-24-7-27-29-2-10-6-13-18-12-8-19*9-1-3-11-17-22-18-0-13-6-5-15-27*17-22-0-13-6-15-16*1-14-20*9-3-24-14-11-25-7-10-15*4-23*9-14-7-16-6-13*8-12-19-17-28-16-27-10-21-6-13-18-0-25-22*23-24-7-2-27-16-28-25-22-18-19*3-4-24-20-7-25-22-19-12-0-26*29-2-15-21-5-6-16-7-20-23-3-1*23-14-11-17-12-8-26-0-28-7-4-1-9*
20,15.23304886602759,0.4620689655172414,14-3-1-24-7-27-29-2-10-6-13-18-12-8-19*9-1-3-11-17-22-18-0-13-6-5-15-27*17-22-0-13-6-15*1-14-20*9-3-24-14-11-25-7-10-15*4-23*9-14-7-16-6-13*8-12-19-17-28-16-27-10-21-6-13-18-0-25-22*23-24-7-2-27-16-28-25-22-18-19*3-4-24-20-7-25-22-19-12-0-26*29-2-15-21-5-6-16-7-20-23-3-1*23-14-11-17-12-8-26-0-28-7-4-1-9*
