,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.8842846682992259,320,3,15984
1,Run_2,0.8831663856859826,432,14,21601
2,Run_3,0.8706037803182259,216,0,10801
3,Run_4,0.8758229452518367,369,3,18451
4,Run_5,0.8594455656325757,228,0,11401
5,Run_6,0.8766551197962171,293,57,14651
6,Run_7,0.8788055449589605,292,0,14601
7,Run_8,0.8626496683607546,302,56,15101
8,Run_9,0.8649385329116572,240,0,12001
9,Run_10,0.8779933672150918,285,1,14251
10,Run_11,0.8495102322090005,276,0,13801
11,Run_12,0.8654184561239432,305,0,15251
12,Run_13,0.8512253424067533,252,0,12119
13,Run_14,0.8676580977812781,469,0,23451
14,Run_15,0.8783179306695544,307,9,15351
15,Run_16,0.8829479590957754,366,33,18301
16,Run_17,0.8841523817727626,479,3,23951
17,Run_18,0.8939569668852984,484,33,24201
18,Run_19,0.8734863960227902,274,0,13701
19,Run_20,0.8829725705425593,317,0,15851
20,Run_21,0.8483965642420289,214,0,10701
21,Run_22,0.8743739463224346,494,0,24701
22,Run_23,0.8713667351685268,236,0,11801
23,Run_24,0.8963519683004565,754,29,37701
24,Run_25,0.8748784809815044,275,4,13751
25,Run_26,0.8846830660940403,577,140,28851
26,Run_27,0.8567921440261866,283,11,14151
27,Run_28,0.8636110530007507,230,0,11501
28,Run_29,0.8766874223201211,315,15,15751
29,Run_30,0.8936985466940675,416,0,20801
